sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,raw_unmapped_count,raw_unmapped_ratio,raw_status,repaired_unmapped_count,repair_count,repair_applied,salvage_attempted,salvage_accepted,salvage_rejection_reason,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T094_L,T015,test,325,325,154,0.47384615384615386,154,0.47384615384615386,FAIL,154,0,False,False,False,unmapped_ratio,602,0,602,576,FAIL,T094,L,output\qc_visualizations_r24\salvaged\T094_L\T015_qc.png,
T097_L,T001,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,0,0,4006,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T001_qc.png,
T097_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,28481,0,28481,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T002_qc.png,
T097_L,T003,test,325,325,0,0.0,6,0.018461538461538463,WARNING,0,6,True,False,False,,0,0,2227,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T003_qc.png,
T097_L,T004,test,325,325,0,0.0,11,0.033846153846153845,WARNING,0,11,True,False,False,,2996,0,2996,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T004_qc.png,
T097_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,3123,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T005_qc.png,
T097_L,T006,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,4179,0,4179,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T006_qc.png,
T097_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,1494,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T007_qc.png,
T097_L,T008,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,17366,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T008_qc.png,
T097_L,T009,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,2387,0,2387,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T009_qc.png,
T097_L,T010,test,325,325,0,0.0,4,0.012307692307692308,WARNING,0,4,True,False,False,,0,0,3032,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T010_qc.png,
T097_L,T011,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,13565,0,13565,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T011_qc.png,
T097_L,T012,test,325,325,0,0.0,4,0.012307692307692308,WARNING,0,4,True,False,False,,0,0,2093,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T012_qc.png,
T097_L,T013,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,7693,0,7693,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T013_qc.png,
T097_L,T014,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,10711,0,10711,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T014_qc.png,
T097_L,T015,test,325,325,0,0.0,24,0.07384615384615385,WARNING,0,24,True,False,False,,1026,0,1026,576,PASS,T097,L,output\qc_visualizations_r24\salvaged\T097_L\T015_qc.png,
T099_L,T001,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,5426,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T001_qc.png,
T099_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,13673,0,13673,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T002_qc.png,
T099_L,T003,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,13789,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T003_qc.png,
T099_L,T004,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,6710,0,6710,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T004_qc.png,
T099_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,6483,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T005_qc.png,
T099_L,T006,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,1961,0,1961,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T006_qc.png,
T099_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,1964,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T007_qc.png,
T099_L,T008,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,14765,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T008_qc.png,
T099_L,T009,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,7600,0,7600,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T009_qc.png,
T099_L,T010,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,2752,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T010_qc.png,
T099_L,T011,test,325,325,0,0.0,5,0.015384615384615385,WARNING,0,5,True,False,False,,2713,0,2713,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T011_qc.png,
T099_L,T012,test,325,325,0,0.0,46,0.14153846153846153,WARNING,0,46,True,False,False,,0,0,697,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T012_qc.png,
T099_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,22621,0,22621,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T013_qc.png,
T099_L,T014,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,8321,0,8321,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T014_qc.png,
T099_L,T015,test,325,325,0,0.0,67,0.20615384615384616,FAIL,0,67,True,True,True,,0,0,632,576,PASS,T099,L,output\qc_visualizations_r24\salvaged\T099_L\T015_qc.png,
